iter	MultiClass
0	1.311262863
1	1.244903927
2	1.184341321
3	1.129609751
4	1.079352378
5	1.033242826
6	0.9905092942
7	0.9506667673
8	0.9135802278
9	0.8792932035
10	0.8470859454
11	0.8168235859
12	0.7884299706
13	0.7623205798
14	0.7372886421
15	0.713240263
16	0.6904916278
17	0.6687265046
18	0.6481692319
19	0.628607973
20	0.6100800839
21	0.592489804
22	0.5757092042
23	0.5596112203
24	0.5440800425
25	0.5294862357
26	0.5156861816
27	0.502208736
28	0.4893440017
29	0.4768565094
30	0.4649160961
31	0.4536994204
32	0.4430457358
33	0.4323833355
34	0.4222681754
35	0.4125124722
36	0.4031119672
37	0.3938581887
38	0.385199838
39	0.3768392317
40	0.368871999
41	0.3608851534
42	0.3533293884
43	0.345966683
44	0.3389230342
45	0.3322823534
46	0.3257503043
47	0.3194539223
48	0.3134149285
49	0.3073745572
50	0.3018260009
51	0.2963787131
52	0.2909611858
53	0.2858461319
54	0.2809913527
55	0.2762321723
56	0.2716083461
57	0.2672124149
58	0.2629148488
59	0.2587033279
60	0.2545955786
61	0.2507459321
62	0.2469432257
63	0.2432914484
64	0.2397348801
65	0.236225398
66	0.2329181377
67	0.2296664669
68	0.2265484535
69	0.2235317822
