iter	Passed	Remaining
0	708	48862
1	1463	49742
2	2194	49001
3	2891	47701
4	3608	46913
5	4310	45983
6	5068	45614
7	5815	45070
8	6541	44336
9	7239	43438
10	7946	42624
11	8685	41980
12	9360	41043
13	10171	40685
14	11035	40461
15	11781	39761
16	12565	39175
17	13291	38396
18	14046	37702
19	14787	36967
20	15509	36187
21	16284	35530
22	17008	34756
23	17756	34032
24	18543	33379
25	19288	32642
26	19988	31833
27	20666	30999
28	21376	30221
29	22092	29456
30	22840	28734
31	23515	27924
32	24235	27173
33	24903	26367
34	25606	25606
35	26309	24847
36	26983	24066
37	27650	23284
38	28331	22519
39	29008	21756
40	29676	20990
41	30365	20243
42	31057	19501
43	31748	18760
44	32431	18017
45	33117	17278
46	33812	16546
47	34490	15808
48	35167	15071
49	35847	14338
50	36542	13613
51	37234	12888
52	37909	12159
53	38589	11434
54	39282	10713
55	39954	9988
56	40627	9266
57	41313	8547
58	42112	7851
59	42812	7135
60	43498	6417
61	44183	5701
62	44861	4984
63	45542	4269
64	46238	3556
65	46920	2843
66	47625	2132
67	48299	1420
68	48989	709
69	49654	0
